hex_id,cate,se,in_zone,adj_cate,t_stat,sig_95
191,-6.902913607660811,2.3876622629204705,1,-6.97971653704009,-2.891076227513647,TRUE
192,-2.2887445920338845,2.3034625295723514,1,-2.3142095332543717,-0.993610515756382,FALSE
193,-1.9501764608224677,1.9486694624486978,1,-1.9718744384462144,-1.0007733473545977,FALSE
194,-1.9823477393888302,1.8985944580891314,1,-2.0044036598431276,-1.0441133075801736,FALSE
195,-8.716060738761914,2.8340746478251146,1,-8.813037035356691,-3.0754520687910145,TRUE
196,-6.553640295476793,1.7824902162512681,1,-6.626557153690418,-3.6766767277184096,TRUE
197,-3.8621180090380554,0.58148448455096,0,-3.905088556485354,-6.641824694635662,TRUE
198,-6.3607084584969655,0.5143887742393839,0,-6.43147872599647,-12.365566235193244,TRUE
199,-4.567194800825451,5.989624882316979,0,-4.6180101462992695,-0.7625176685620275,FALSE
200,-4.722290465775418,5.851413683606059,0,-4.774831430615089,-0.8070341153635895,FALSE
201,-4.485222186570341,5.665672074271076,0,-4.5351254915259815,-0.7916487448927041,FALSE
202,-4.020372498891977,5.186303892572656,0,-4.065103811300134,-0.7751903054986001,FALSE
203,-2.394264512396882,3.6492994151672304,0,-2.4209034852585525,-0.6560888104839608,FALSE
204,-3.8448316240123397,5.054425036849073,0,-3.8876098403537007,-0.7606862493719377,FALSE
205,-3.567558929326691,5.181294571148631,0,-3.6072521649774187,-0.6885458605639181,FALSE
206,-4.315079709120159,4.17489176345349,0,-4.363089981448892,-1.0335788215861923,FALSE
207,-4.294507063891794,4.8361466273463884,0,-4.342288441653911,-0.8880018317906557,FALSE
208,-4.523521037497897,4.530842151496744,0,-4.573850461641793,-0.9983841604377172,FALSE
209,-5.062555506996486,2.9358265914393527,0,-5.118882315527165,-1.7244054951196754,FALSE
210,-5.288739231252317,2.4244719190960717,0,-5.347582596354338,-2.1813984272600466,TRUE
211,-5.609479800553394,3.300747433968256,0,-5.6718917769249755,-1.6994574449489193,FALSE
212,-4.552510461246736,3.1680932300121594,0,-4.603162426391646,-1.4369875286874885,FALSE
213,-4.798874445431501,3.0907731847304465,0,-4.852267495972286,-1.552645295727199,FALSE
214,-3.1371855590555326,2.2007179648768758,0,-3.1720903912229867,-1.4255282181199669,FALSE
215,-3.472568670027159,2.31117514681112,0,-3.511205028742819,-1.5025121202166307,FALSE
216,-4.476689086239768,2.1794470702427233,0,-4.526497450545803,-2.0540480874083364,TRUE
217,-6.22315398463922,3.1236893285380303,1,-6.292393798892174,-1.9922448521959197,TRUE
218,-7.638515722623504,2.009062938785388,1,-7.723503079694885,-3.8020290828924916,TRUE
219,-2.33157164837905,2.3909835998289823,1,-2.3575130903311052,-0.9751516691899593,FALSE
220,-1.9878020968566852,2.004660131252506,1,-2.009918703371279,-0.9915905773088388,FALSE
221,-9.910361011478507,2.5687379881347647,1,-10.020625285399454,-3.858066123230695,TRUE
222,-7.439601428373928,2.041051888986842,1,-7.522375632947381,-3.644983975427922,TRUE
223,-5.490098433781912,1.1203925043804888,1,-5.551182153825445,-4.900156340136901,TRUE
224,-6.311859310468901,0.68694603265769,0,-6.38208607447416,-9.188289924390821,TRUE
